config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
h2_0.80,T4_low_angle_gb,K3/R2/P4,good,1.05,0.8,0.1,0.0,0.019553072625698324,True,0.8279922917482171
h2_0.80,T4_low_angle_gb,K4/R2/P3,bad,1.05,0.8,0.1,1.0307262569832403,1.2150837988826815,True,0.5929150929932373
h2_0.80,T5_high_angle_gb,K1/R2/P3,bad,1.05,0.8,0.1,2.0294117647058822,2.0,True,0.4803174898447694
h2_0.80,T5_high_angle_gb,K2/R2/P3,good,1.05,0.8,0.1,0.0106951871657754,0.058823529411764705,True,1.3702076701573302
h2_0.80,T5_high_angle_gb,K3/R2/P3,good,1.05,0.8,0.1,0.034759358288770054,0.06149732620320856,True,0.8176614723193132
h2_0.80,T5_high_angle_gb,K3/R2/P4,good,1.05,0.8,0.1,0.034759358288770054,0.0481283422459893,True,0.7615605978363358
h2_0.80,T5_high_angle_gb,K4/R2/P3,bad,1.05,0.8,0.1,1.0641711229946524,1.5026737967914439,True,0.7730831097020302
w_0.07,T0_pristine,K1/R2/P3,bad,1.05,0.6,0.07,2.651685393258427,0.8561797752808988,True,0.7571056278031187
w_0.07,T0_pristine,K2/R2/P3,good,1.05,0.6,0.07,0.02247191011235955,0.01348314606741573,True,0.8985491722686061
w_0.07,T0_pristine,K3/R2/P3,good,1.05,0.6,0.07,0.008988764044943821,0.01348314606741573,True,0.6748201829791276
w_0.07,T0_pristine,K3/R2/P4,good,1.05,0.6,0.07,0.008988764044943821,0.017977528089887642,True,0.6501777627521637
w_0.07,T0_pristine,K4/R2/P3,bad,1.05,0.6,0.07,1.5707865168539326,1.7842696629213484,True,1.013159638366121
w_0.07,T1_vacancy,K1/R2/P3,bad,1.05,0.6,0.07,2.892543859649123,0.7324561403508771,True,0.9695957738423666
w_0.07,T1_vacancy,K2/R2/P3,good,1.05,0.6,0.07,0.015350877192982455,0.02850877192982456,True,0.8982634591942684
w_0.07,T1_vacancy,K3/R2/P3,good,1.05,0.6,0.07,0.03508771929824561,0.019736842105263157,True,0.6578084296433534
w_0.07,T1_vacancy,K3/R2/P4,good,1.05,0.6,0.07,0.03508771929824561,0.006578947368421052,True,0.638552825795443
w_0.07,T1_vacancy,K4/R2/P3,bad,1.05,0.6,0.07,1.4824561403508771,1.7719298245614035,True,1.106992192661592
w_0.07,T2_stone_wales,K1/R2/P3,bad,1.05,0.6,0.07,2.694877505567929,0.9665924276169265,True,0.721149119989584
w_0.07,T2_stone_wales,K2/R2/P3,good,1.05,0.6,0.07,0.0378619153674833,0.015590200445434299,True,0.9052027554485984
w_0.07,T2_stone_wales,K3/R2/P3,good,1.05,0.6,0.07,0.0378619153674833,0.008908685968819599,True,0.7141633203773765
w_0.07,T2_stone_wales,K3/R2/P4,good,1.05,0.6,0.07,0.0378619153674833,0.013363028953229399,True,0.6782208894788653
w_0.07,T2_stone_wales,K4/R2/P3,bad,1.05,0.6,0.07,1.3697104677060135,1.5456570155902005,True,1.0876423106809203
w_0.07,T3_dislocation_dipole,K1/R2/P3,bad,1.05,0.6,0.07,2.292134831460674,2.539325842696629,True,0.642566475181714
w_0.07,T3_dislocation_dipole,K2/R2/P3,good,1.05,0.6,0.07,0.014044943820224719,0.0056179775280898875,True,1.2306499220294262
w_0.07,T3_dislocation_dipole,K3/R2/P3,good,1.05,0.6,0.07,0.008426966292134831,0.03932584269662921,True,0.7769151471754623
