case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T3_dislocation_dipole,K2,R2,P4,K2/R2/P4,0.01,856,512,198,0.0019569471624266144,0.09994489630458897,0.08651717245161251,0.13435127104494202,True,8200,2.656234526205982e-16,59.413939309108414,0.0007271718310435217,0.7457302377669811,False,856,866,0,0,361,0,0,364,1.0,16,27,
T3_dislocation_dipole,K3,R2,P1,K3/R2/P1,0.01,856,512,198,0.0019569471624266144,24311373392661.273,4.8842281550333343e+45,-2.009030126001728e+32,False,200,0.0,386205.9633264915,0.0011252899470876815,16797495.859363187,False,844,701,0,0,357,1,0,6,nan,16,540,
T3_dislocation_dipole,K3,R2,P2,K3/R2/P2,0.01,856,512,198,0.0019569471624266144,200651.05161787587,3.0140018055312415e+18,-15021111433150.97,False,200,0.0,565.893802085736,0.030581465144820852,1186.8985322997312,False,327,250,3,1,0,0,0,2,0.0,212,118,
T3_dislocation_dipole,K3,R2,P3,K3/R2/P3,0.01,856,512,198,0.0019569471624266144,0.051894257185644284,0.05184463438918887,0.0009562290539759769,True,800,0.0,3.5252745928385125,0.001125289947087682,0.08725865521394698,False,856,696,0,0,368,0,0,252,1.0,16,67,
T3_dislocation_dipole,K3,R2,P4,K3/R2/P4,0.01,856,512,198,0.0019569471624266144,0.051894257185644284,0.05184463438918887,0.0009562290539759769,True,800,0.0,3.5252745928385125,0.001125289947087682,0.08725865521394698,False,856,696,0,0,368,0,0,252,1.0,16,67,
T3_dislocation_dipole,K4,R2,P1,K4/R2/P1,0.01,856,512,198,0.0019569471624266144,429334608682.40405,1.0017207091592653e+29,-2.3331934787029434e+17,False,200,1.328117263102991e-16,13521.554676735353,0.009854937774491365,7506.847914760002,False,354,421,2,0,1,7,4,3,5.5,233,242,
T3_dislocation_dipole,K4,R2,P2,K4/R2/P2,0.01,856,512,198,0.0019569471624266144,0.01609892907849351,0.0013266809196900108,0.917591976881101,False,20000,1.328117263102991e-16,9.688522340188706,0.01709651070523267,0.9667745631294059,False,300,35,0,0,0,0,0,0,1.0,177,0,
T3_dislocation_dipole,K4,R2,P3,K4/R2/P3,0.01,856,512,198,0.0019569471624266144,0.07168354764706444,0.05291563353196699,0.26181620094336994,False,20000,1.328117263102991e-16,12.156329542747262,0.009854937774491365,0.800029711910295,False,354,11,2,0,1,0,0,0,0.0,233,0,
T3_dislocation_dipole,K4,R2,P4,K4/R2/P4,0.01,856,512,198,0.0019569471624266144,0.10699601112473055,0.10346596895478422,0.03299227824326261,False,20000,1.328117263102991e-16,8.636337178435822,0.013064169698786826,0.45362754414182516,False,354,59,2,0,1,0,0,0,0.0,233,21,
T3_dislocation_dipole,K3,R1,P2,K3/R1/P2,0.01,856,512,198,0.0019569471624266144,1808.6668492694614,76615560072.6692,-42360238.036622465,False,200,0.0,374.9605828180024,0.018953561016032395,46.57585151647103,True,335,365,1,0,4,10,3,0,13.0,190,221,
T3_dislocation_dipole,K3,R3,P2,K3/R3/P2,0.01,856,512,198,0.0019569471624266144,1.634683336517721,1.6346833359267272,3.6153405691576996e-10,True,200,0.0,0.010974361689402513,0.05529011081298848,3.856425852220102e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,
T4_low_angle_gb,K1,R2,P1,K1/R2/P1,0.01,862,512,198,0.0019569471624266144,508548726991.1817,1.9264563858511357e+26,-378814513458517.75,False,200,1.3188728273969376e-16,65922.70401016153,4.225595942519328e-05,2253.9963446648303,False,352,443,4,0,3,3,0,2,0.75,235,229,
T4_low_angle_gb,K1,R2,P2,K1/R2/P2,0.01,862,512,198,0.0019569471624266144,0.013128812639126146,0.00010232140196948209,0.9922063476125368,False,20000,1.3188728273969376e-16,31.91959030809361,4.4109161264434756e-05,0.9895959893864302,False,323,87,3,3,3,0,0,0,0.0,200,45,
T4_low_angle_gb,K1,R2,P3,K1/R2/P3,0.01,862,512,198,0.0019569471624266144,0.06220776358912306,0.05197450998819817,0.1645012295975572,False,20000,1.3188728273969376e-16,28.183335515498456,4.2255959425193326e-05,0.773292058896261,False,343,136,4,0,3,0,0,0,0.0,232,56,
