family,regime,knob,value,sigma_equiv,mean_ringL1,max_ringL1,ringL1_T0,ringL1_T1,ringL1_T2,ringL1_T3,ringL1_T4,ringL1_T5
K1,wide,k_cut,760.0,0.0013157894736842105,0.04173136251828708,0.1797752808988764,0.017977528089887642,0.02412280701754386,0.017817371937639197,0.1797752808988764,0.0,0.0106951871657754
K1,wide,k_cut,770.0,0.0012987012987012987,0.04248690803339481,0.17696629213483145,0.02247191011235955,0.015350877192982455,0.015590200445434299,0.17696629213483145,0.0111731843575419,0.013368983957219251
K1,wide,k_cut,780.0,0.001282051282051282,0.0838020127902626,0.25977653631284914,0.015730337078651686,0.02631578947368421,0.0022271714922048997,0.1853932584269663,0.25977653631284914,0.013368983957219251
K1,wide,k_cut,790.0,0.0012658227848101266,0.3808784342086513,1.6424581005586592,0.024719101123595506,0.021929824561403508,0.0066815144766146995,0.5814606741573034,1.6424581005586592,0.008021390374331552
K1,wide,k_cut,800.0,0.00125,1.0129369714248575,6.002673796791444,0.02247191011235955,0.0021929824561403508,0.022271714922048998,0.014044943820224719,0.013966480446927373,6.002673796791444
K1,wide,k_cut,810.0,0.0012345679012345679,1.1300601076496148,6.716292134831461,0.015730337078651686,0.008771929824561403,0.017817371937639197,6.716292134831461,0.008379888268156424,0.013368983957219251
K2,band,sigma,0.002,0.002,0.017336242245074487,0.025139664804469275,0.015730337078651686,0.021929824561403508,0.024498886414253896,0.014044943820224719,0.025139664804469275,0.00267379679144385
K2,band,sigma,0.003,0.003,0.015826559246803828,0.028953229398663696,0.020224719101123594,0.015350877192982455,0.028953229398663696,0.011235955056179775,0.0111731843575419,0.008021390374331552
K2,band,sigma,0.004,0.004,0.015485955752386203,0.0334075723830735,0.006741573033707865,0.010964912280701754,0.0334075723830735,0.025280898876404494,0.0111731843575419,0.0053475935828877
K2,band,sigma,0.005,0.005,0.0167374722764709,0.0378619153674833,0.02247191011235955,0.015350877192982455,0.0378619153674833,0.014044943820224719,0.0,0.0106951871657754
K2,band,sigma,0.006,0.006,0.020300947672438358,0.025139664804469275,0.015730337078651686,0.021929824561403508,0.017817371937639197,0.02247191011235955,0.025139664804469275,0.01871657754010695
K2,band,sigma,0.008,0.008,0.03275565095859471,0.06684491978609626,0.02247191011235955,0.008771929824561403,0.0200445434298441,0.033707865168539325,0.0446927374301676,0.06684491978609626
K2,band,sigma,0.01,0.01,0.0970739396276677,0.22994652406417113,0.017977528089887642,0.021929824561403508,0.015590200445434299,0.16292134831460675,0.1340782122905028,0.22994652406417113
K2,band,sigma,0.015,0.015,0.40316581936442225,0.6396648044692738,0.21348314606741572,0.22587719298245615,0.25389755011135856,0.4550561797752809,0.6396648044692738,0.6310160427807486
K2,band,sigma,0.02,0.02,1.0609048620239305,1.3623595505617978,1.0,1.0,0.9888641425389755,1.3623595505617978,1.0195530726256983,0.9946524064171123
K2,band,sigma,0.03,0.03,1.325070373706696,1.90561797752809,1.90561797752809,1.7346491228070176,1.1804008908685968,1.1404494382022472,1.0,0.9893048128342246
K2,band,sigma,0.05,0.05,1.0722221710026927,1.3258426966292134,1.3258426966292134,1.105263157894737,1.0022271714922049,1.0,1.0,1.0
K2,wide,sigma,0.001,0.001,0.02012274628744216,0.033707865168539325,0.017977528089887642,0.017543859649122806,0.026726057906458798,0.033707865168539325,0.01675977653631285,0.008021390374331552
K2,wide,sigma,0.002,0.002,0.017336242245074487,0.025139664804469275,0.015730337078651686,0.021929824561403508,0.024498886414253896,0.014044943820224719,0.025139664804469275,0.00267379679144385
K2,wide,sigma,0.003,0.003,0.015826559246803828,0.028953229398663696,0.020224719101123594,0.015350877192982455,0.028953229398663696,0.011235955056179775,0.0111731843575419,0.008021390374331552
K2,wide,sigma,0.004,0.004,0.015485955752386203,0.0334075723830735,0.006741573033707865,0.010964912280701754,0.0334075723830735,0.025280898876404494,0.0111731843575419,0.0053475935828877
K2,wide,sigma,0.005,0.005,0.0167374722764709,0.0378619153674833,0.02247191011235955,0.015350877192982455,0.0378619153674833,0.014044943820224719,0.0,0.0106951871657754
K2,wide,sigma,0.006,0.006,0.020300947672438358,0.025139664804469275,0.015730337078651686,0.021929824561403508,0.017817371937639197,0.02247191011235955,0.025139664804469275,0.01871657754010695
K2,wide,sigma,0.007,0.007,0.017970245509760972,0.0374331550802139,0.02247191011235955,0.010964912280701754,0.008908685968819599,0.019662921348314606,0.008379888268156424,0.0374331550802139
K2,wide,sigma,0.008,0.008,0.03275565095859471,0.06684491978609626,0.02247191011235955,0.008771929824561403,0.0200445434298441,0.033707865168539325,0.0446927374301676,0.06684491978609626
K2,wide,sigma,0.009,0.009,0.04611205867774403,0.10695187165775401,0.015730337078651686,0.013157894736842105,0.017817371937639197,0.019662921348314606,0.10335195530726257,0.10695187165775401
K2,wide,sigma,0.01,0.01,0.0970739396276677,0.22994652406417113,0.017977528089887642,0.021929824561403508,0.015590200445434299,0.16292134831460675,0.1340782122905028,0.22994652406417113
K2,wide,sigma,0.011,0.011,0.15588342275510828,0.2647058823529412,0.0898876404494382,0.15789473684210525,0.1091314031180401,0.14887640449438203,0.164804469273743,0.2647058823529412
K2,wide,sigma,0.012,0.012,0.19919830121862417,0.3074866310160428,0.10112359550561797,0.1425438596491228,0.13140311804008908,0.2612359550561798,0.25139664804469275,0.3074866310160428
K2,wide,sigma,0.013,0.013,0.23447325028093158,0.40106951871657753,0.08764044943820225,0.1600877192982456,0.133630289532294,0.2696629213483146,0.3547486033519553,0.40106951871657753
